Size,Type,InstanceID,Repetition,Algorithm,Threads,TimeMS
25,strongly_correlated,14,0,Parallel,12,1.0373
25,strongly_correlated,15,0,SequentialOptimized,1,2.3888
25,strongly_correlated,15,0,Parallel,4,1.6743
25,strongly_correlated,15,0,Parallel,6,1.2533
25,strongly_correlated,15,0,Parallel,12,1.8423
25,strongly_correlated,16,0,SequentialOptimized,1,41.7919
25,strongly_correlated,16,0,Parallel,4,12.3067
25,strongly_correlated,16,0,Parallel,6,9.0124
25,strongly_correlated,16,0,Parallel,12,8.3381
25,strongly_correlated,17,0,SequentialOptimized,1,0.8715
25,strongly_correlated,17,0,Parallel,4,0.9074
25,strongly_correlated,17,0,Parallel,6,0.7747
25,strongly_correlated,17,0,Parallel,12,1.3088
25,strongly_correlated,18,0,SequentialOptimized,1,0.8027
25,strongly_correlated,18,0,Parallel,4,0.9318
25,strongly_correlated,18,0,Parallel,6,0.7433
25,strongly_correlated,18,0,Parallel,12,1.1428
25,strongly_correlated,19,0,SequentialOptimized,1,0.0384
25,strongly_correlated,19,0,Parallel,4,0.4265
25,strongly_correlated,19,0,Parallel,6,7.2965
25,strongly_correlated,19,0,Parallel,12,1.9593
25,strongly_correlated,20,0,SequentialOptimized,1,0.547
25,strongly_correlated,20,0,Parallel,4,0.7238
25,strongly_correlated,20,0,Parallel,6,0.9236
25,strongly_correlated,20,0,Parallel,12,1.2542
25,strongly_correlated,21,0,SequentialOptimized,1,0.1617
25,strongly_correlated,21,0,Parallel,4,0.5536
25,strongly_correlated,21,0,Parallel,6,0.3446
25,strongly_correlated,21,0,Parallel,12,0.8887
25,strongly_correlated,22,0,SequentialOptimized,1,0.3048
25,strongly_correlated,22,0,Parallel,4,0.7933
25,strongly_correlated,22,0,Parallel,6,0.607
25,strongly_correlated,22,0,Parallel,12,6.4053
25,strongly_correlated,23,0,SequentialOptimized,1,0.1028
25,strongly_correlated,23,0,Parallel,4,0.705
25,strongly_correlated,23,0,Parallel,6,0.5708
25,strongly_correlated,23,0,Parallel,12,0.9418
25,strongly_correlated,24,0,SequentialOptimized,1,1.1056
25,strongly_correlated,24,0,Parallel,4,1.7459
25,strongly_correlated,24,0,Parallel,6,0.7269
25,strongly_correlated,24,0,Parallel,12,2.2959
25,strongly_correlated,25,0,SequentialOptimized,1,0.1372
25,strongly_correlated,25,0,Parallel,4,0.5651
25,strongly_correlated,25,0,Parallel,6,0.3562
25,strongly_correlated,25,0,Parallel,12,0.6283
25,strongly_correlated,26,0,SequentialOptimized,1,1.2668
25,strongly_correlated,26,0,Parallel,4,1.2008
25,strongly_correlated,26,0,Parallel,6,0.964
25,strongly_correlated,26,0,Parallel,12,1.5675
25,strongly_correlated,27,0,SequentialOptimized,1,0.6348
25,strongly_correlated,27,0,Parallel,4,0.8551
25,strongly_correlated,27,0,Parallel,6,0.6115
25,strongly_correlated,27,0,Parallel,12,1.0842
25,strongly_correlated,28,0,SequentialOptimized,1,0.0552
25,strongly_correlated,28,0,Parallel,4,0.5086
25,strongly_correlated,28,0,Parallel,6,0.3264
25,strongly_correlated,28,0,Parallel,12,0.9603
25,strongly_correlated,29,0,SequentialOptimized,1,0.0265
25,strongly_correlated,29,0,Parallel,4,0.5203
25,strongly_correlated,29,0,Parallel,6,0.4674
25,strongly_correlated,29,0,Parallel,12,0.633
25,strongly_correlated,30,0,SequentialOptimized,1,0.9121
25,strongly_correlated,30,0,Parallel,4,1.0962
25,strongly_correlated,30,0,Parallel,6,1.0089
25,strongly_correlated,30,0,Parallel,12,1.6549
25,strongly_correlated,31,0,SequentialOptimized,1,0.7807
25,strongly_correlated,31,0,Parallel,4,0.8082
25,strongly_correlated,31,0,Parallel,6,2.139
25,strongly_correlated,31,0,Parallel,12,1.1101
25,strongly_correlated,32,0,SequentialOptimized,1,0.0302
25,strongly_correlated,32,0,Parallel,4,0.568
25,strongly_correlated,32,0,Parallel,6,0.3189
25,strongly_correlated,32,0,Parallel,12,0.6423
25,strongly_correlated,33,0,SequentialOptimized,1,0.7069
25,strongly_correlated,33,0,Parallel,4,0.8829
25,strongly_correlated,33,0,Parallel,6,0.7438
25,strongly_correlated,33,0,Parallel,12,1.2421
25,strongly_correlated,34,0,SequentialOptimized,1,1.2921
25,strongly_correlated,34,0,Parallel,4,1.2886
25,strongly_correlated,34,0,Parallel,6,1.1227
25,strongly_correlated,34,0,Parallel,12,1.8386
25,strongly_correlated,35,0,SequentialOptimized,1,0.1994
25,strongly_correlated,35,0,Parallel,4,0.6029
25,strongly_correlated,35,0,Parallel,6,0.4132
25,strongly_correlated,35,0,Parallel,12,0.7643
25,strongly_correlated,36,0,SequentialOptimized,1,0.0154
25,strongly_correlated,36,0,Parallel,4,0.5299
25,strongly_correlated,36,0,Parallel,6,0.3912
25,strongly_correlated,36,0,Parallel,12,0.6157
25,strongly_correlated,37,0,SequentialOptimized,1,1.013
25,strongly_correlated,37,0,Parallel,4,0.9388
25,strongly_correlated,37,0,Parallel,6,0.7743
25,strongly_correlated,37,0,Parallel,12,1.2749
25,strongly_correlated,38,0,SequentialOptimized,1,0.1015
25,strongly_correlated,38,0,Parallel,4,0.6215
25,strongly_correlated,38,0,Parallel,6,0.4159
25,strongly_correlated,38,0,Parallel,12,0.8891
25,strongly_correlated,39,0,SequentialOptimized,1,1.1197
25,strongly_correlated,39,0,Parallel,4,1.0617
25,strongly_correlated,39,0,Parallel,6,0.9417
25,strongly_correlated,39,0,Parallel,12,1.6331
25,strongly_correlated,40,0,SequentialOptimized,1,1.3537
25,strongly_correlated,40,0,Parallel,4,1.1433
25,strongly_correlated,40,0,Parallel,6,0.9476
25,strongly_correlated,40,0,Parallel,12,1.5189
25,strongly_correlated,41,0,SequentialOptimized,1,0.1134
25,strongly_correlated,41,0,Parallel,4,1.3929
25,strongly_correlated,41,0,Parallel,6,1.225
25,strongly_correlated,41,0,Parallel,12,8.398
25,strongly_correlated,42,0,SequentialOptimized,1,49.6127
25,strongly_correlated,42,0,Parallel,4,17.284
25,strongly_correlated,42,0,Parallel,6,15.0498
25,strongly_correlated,42,0,Parallel,12,12.363
25,strongly_correlated,43,0,SequentialOptimized,1,1.1244
25,strongly_correlated,43,0,Parallel,4,1.2118
25,strongly_correlated,43,0,Parallel,6,0.9894
25,strongly_correlated,43,0,Parallel,12,1.5281
25,strongly_correlated,44,0,SequentialOptimized,1,1.3779
25,strongly_correlated,44,0,Parallel,4,1.2646
25,strongly_correlated,44,0,Parallel,6,0.9907
25,strongly_correlated,44,0,Parallel,12,1.4823
25,strongly_correlated,45,0,SequentialOptimized,1,1.2197
25,strongly_correlated,45,0,Parallel,4,1.0383
25,strongly_correlated,45,0,Parallel,6,0.9278
25,strongly_correlated,45,0,Parallel,12,1.7529
25,strongly_correlated,46,0,SequentialOptimized,1,0.1323
25,strongly_correlated,46,0,Parallel,4,0.5169
25,strongly_correlated,46,0,Parallel,6,0.32
25,strongly_correlated,46,0,Parallel,12,0.6189
25,strongly_correlated,47,0,SequentialOptimized,1,0.7877
25,strongly_correlated,47,0,Parallel,4,1.1457
25,strongly_correlated,47,0,Parallel,6,1.289
25,strongly_correlated,47,0,Parallel,12,1.3468
25,strongly_correlated,48,0,SequentialOptimized,1,38.798
